Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,Churn Value,CLTV,Is_New_Customer,Is_Long_Term_Customer,Charges_Per_Tenure,Estimated_Total_Charges,High_Monthly_Charges,TotalCharges_to_MonthlyRatio,Contract_Risk_Level,Is_Month_To_Month,Is_Electronic_Check,Has_Internet_Service,Is_Fiber_Optic,Total_Services_Count,Protection_Support_Count,Streaming_Services_Count,No_Online_Security,No_Tech_Support,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Tenure_Group_13_24_months,Tenure_Group_25_48_months,Tenure_Group_49_72_months
-0.9441111105351433,0.7072677819803725,-1.2367242199587352,-0.3626603559551803,-0.9596740712020441,1,-0.9816754877591304,1,0,1.3964241971165443,-0.9590706551121989,0,-1.238155068600629,0.828206896039032,1,0,1,0,-0.176010571085054,0.5706815961898379,-0.9058586275188776,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
-0.905362126404178,0.6912153076876253,-1.2367242199587352,0.19736523310080326,-0.9404697022531111,1,-1.4364617989116963,1,0,2.0404032218840493,-0.9441892339548409,1,-1.2325972059081536,0.828206896039032,1,1,1,1,-1.145996840374596,-0.9835761307881314,-0.9058586275188776,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
-0.9099509183451951,0.6974565719801551,-0.9924020376385531,1.1595456961969886,-0.6451859741727949,1,0.821408530249091,1,0,0.607852453632696,-0.6545976614030528,1,-0.9849001038921761,0.828206896039032,1,1,1,1,0.7939756982044881,-0.20644726729914673,1.4401470035219222,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
-0.9042039329110767,0.6873737810134704,-0.1779947632379461,1.330710787214099,0.3373492744317471,1,0.5094826030831118,0,0,-0.24729388052853946,0.2891582227959128,1,-0.1374622523475682,0.828206896039032,1,1,1,1,1.278968832849259,0.5706815961898379,1.4401470035219222,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
-0.9135301597695469,0.710275564356443,0.6771328748826912,1.2941512532104444,1.2160043388136705,1,0.7943580433403883,0,1,-0.42383888843993717,1.2371974834110913,1,0.6558359051397179,0.828206896039032,1,0,1,1,1.278968832849259,0.5706815961898379,1.4401470035219222,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
-0.9024764164561794,0.6900807851519358,-0.9109613101984924,-0.31779183695069496,-0.774164281952812,1,1.2888747571401113,1,0,-0.08627366541128198,-0.7628743518417512,0,-0.9304801771043862,0.828206896039032,1,0,1,0,-0.176010571085054,0.5706815961898379,-0.9058586275188776,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.919807373026454,0.7611209899744876,-1.2774445836787656,-0.8346107040023594,-0.9899154337997889,1,0.8729735209188058,1,0,1.6114023582036194,-0.9891205278053204,0,-1.2791755274381091,0.828206896039032,1,1,1,0,-0.661003705729825,-0.20644726729914673,0.26714418800152223,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
-0.9025024798821851,0.6318665244368911,-1.2774445836787656,-1.4827115340671475,-0.9985242888458623,1,0.3649315636647312,1,0,0.4935159205508293,-0.9977314391575007,0,-1.279175528431003,0.828206896039032,1,0,0,0,-1.145996840374596,-0.9835761307881314,-0.9058586275188776,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
-0.8888330274245915,0.6822137426505788,0.5956921474426305,1.1495749141959914,1.0892334297634156,1,1.1739101877781244,0,0,-0.4243213949792659,1.0553306198010668,1,0.624762440744815,0.828206896039032,1,1,1,1,0.7939756982044881,-0.20644726729914673,1.4401470035219222,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
-0.8928712294912499,0.6970529081204373,-1.2774445836787656,-1.1486903370337564,-0.9940874173990399,1,-1.2555616677097463,1,0,1.0696573922641903,-0.9932935079221464,0,-1.2791755277591557,0.828206896039032,1,1,1,0,-1.145996840374596,-0.20644726729914673,-0.9058586275188776,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
